Detail for each storm on Atlantic Hurricanes:

ID	TotalDistance 	 Max 	 Mean
AL011878	689.81	16.01	10.69
AL021878	2392.09	16.55	9.06
AL031878	1100.8	23.05	16.68
AL041878	1939.98	28.14	14.06
AL051878	3152.98	25.26	10.13
AL061878	1539.35	17.41	9.5
AL071878	3292.06	36.54	9.3
AL081878	3127.95	31.04	19.62
AL091878	2493.47	25.29	13.41
AL101878	1841.21	17.89	11.37
AL111878	2379.55	33.0	13.24
AL121878	1592.72	12.58	8.56
AL011879	1291.16	18.1	14.35
AL021879	3208.81	31.02	17.25
AL031879	1717.87	18.14	12.43
AL041879	817.02	17.42	7.46
AL051879	1349.47	19.9	12.13
AL061879	2404.2	19.51	13.01
AL071879	2362.26	43.0	17.49
AL081879	2219.42	42.59	24.66
AL011880	578.43	8.22	5.58
AL021880	2672.92	21.22	10.31
AL031880	1705.08	20.07	12.36
AL041880	1834.42	11.78	8.7
AL051880	1966.41	18.71	8.4
AL061880	2142.79	30.5	15.9
AL071880	1573.41	30.2	23.84
AL081880	2062.11	24.02	11.09
AL091880	1738.75	26.84	12.95
AL101880	1582.99	27.9	9.77
AL111880	1537.96	34.89	16.91
AL011881	570.81	9.15	7.25
AL031881	1922.88	15.53	10.34
AL021881	681.77	13.42	8.69
AL041881	2288.98	22.66	16.59
AL051881	2166.75	16.87	10.24
AL061881	1419.91	19.89	12.33
AL071881	2280.54	17.71	14.08
AL011882	472.58	31.92	19.69
AL021882	3294.37	33.23	12.24
AL031882	369.82	10.88	7.75
AL041882	824.37	22.59	11.31
AL051882	1552.85	26.99	13.62
AL061882	1994.76	15.48	7.77
AL011883	4191.56	34.57	16.25
AL021883	4089.99	41.16	17.48
AL031883	2212.55	16.74	9.86
AL041883	3279.49	43.3	20.24
AL011884	2509.26	33.23	18.18
AL021884	3616.56	36.91	10.96
AL031884	3958.8	53.84	15.16
AL041884	1518.89	18.49	5.89
AL011885	2738.65	25.75	13.04
AL021885	3435.5	43.71	18.47
AL031885	923.15	21.64	14.2
AL041885	2417.02	31.26	15.35
AL051885	790.12	21.42	8.78
AL061885	1145.31	15.86	5.4
AL071885	1071.49	15.6	11.91
AL081885	1166.4	18.7	13.2
AL011886	705.08	15.06	11.69
AL021886	2250.96	34.62	12.11
AL031886	1581.89	22.77	12.95
AL041886	4089.8	31.81	16.05
AL051886	2874.79	20.2	12.62
AL061886	3681.79	22.88	12.03
AL071886	2886.38	34.1	22.91
AL081886	2148.32	15.91	10.23
AL091886	709.04	6.57	3.38
AL101886	1099.87	12.74	8.03
AL111886	881.54	14.79	6.39
AL121886	1173.64	14.88	9.78
AL011887	1487.29	51.81	11.8
AL021887	981.37	13.41	8.61
AL031887	756.38	11.97	9.83
AL041887	2679.29	23.49	12.71
AL051887	2085.81	16.17	9.93
AL061887	3970.87	36.13	17.89
AL071887	3501.76	46.5	15.36
AL081887	3001.74	45.68	22.74
AL091887	2652.98	19.16	9.73
AL101887	1918.27	33.9	19.98
AL111887	730.85	12.3	12.18
AL121887	358.36	13.99	8.53
AL131887	3711.97	53.47	12.08
AL141887	828.47	16.06	13.81
AL151887	1292.93	17.44	12.68
AL161887	4261.52	45.35	21.27
AL171887	1629.39	17.85	9.37
AL181887	2741.9	34.49	18.28
AL191887	1492.03	18.83	11.3
AL011888	324.68	6.1	4.92
AL021888	374.63	11.01	7.88
AL031888	3615.65	39.13	14.43
AL041888	2048.0	14.0	10.34
AL051888	2043.47	24.96	12.61
AL061888	1599.24	32.18	17.22
AL071888	1828.37	37.04	18.29
AL081888	1962.24	14.65	10.9
AL091888	3478.73	17.6	9.2
AL011889	1404.25	15.5	10.18
AL021889	1943.43	25.77	14.13
AL031889	1480.4	9.67	6.49
AL041889	2247.42	14.96	7.97
AL051889	3146.88	25.67	13.45
AL061889	4341.01	42.35	12.59
AL071889	2318.23	21.25	12.88
AL081889	2367.55	20.46	14.09
AL091889	2923.67	42.34	20.02
AL011890	299.53	7.22	5.55
AL021890	2368.05	25.3	10.21
AL031890	3860.46	36.39	20.11
AL041890	306.5	10.84	10.22
AL011891	1026.68	13.77	8.7
AL021891	3193.95	16.15	10.65
AL031891	1749.83	18.33	10.0
AL041891	3154.13	41.61	15.93
AL051891	2613.52	19.38	10.13
AL061891	3383.07	37.25	14.84
AL071891	1832.83	20.08	13.27
AL081891	2660.68	42.88	13.04
AL091891	2329.89	26.19	11.77
AL101891	1687.12	39.76	23.43
AL011892	1344.66	17.32	7.51
AL021892	3703.24	39.41	15.83
AL031892	4311.57	24.11	12.61
AL041892	3021.94	28.49	14.22
AL051892	2736.73	18.57	9.7
AL061892	444.06	8.36	7.4
AL071892	2550.62	13.98	9.66
AL081892	1876.14	16.4	10.78
AL091892	1766.22	19.74	8.88
AL011893	2546.65	22.9	12.71
AL021893	922.33	14.56	11.83
AL031893	4409.29	38.6	15.0
