Detail for each storm on Atlantic Hurricanes:

ID	TotalDistance 	 Max 	 Mean
AL011948	1262.77	13.54	7.8
AL021948	546.52	12.17	5.82
AL031948	4024.2	34.76	15.6
AL041948	509.62	12.05	10.71
AL051948	1071.83	14.28	9.11
AL061948	5980.78	43.98	18.81
AL071948	996.35	31.88	12.77
AL081948	2968.54	44.43	15.16
AL091948	4524.91	47.96	14.71
AL101948	994.69	22.84	16.58
AL011949	4471.53	51.34	20.7
AL021949	4826.26	59.53	20.8
AL031949	747.82	12.66	9.59
AL041949	2820.52	46.37	13.83
AL051949	703.79	15.85	11.73
AL061949	2695.35	28.28	9.77
AL071949	596.38	11.28	8.23
AL081949	873.24	12.49	9.7
AL091949	752.04	12.51	5.07
AL101949	622.62	14.29	11.47
AL111949	2052.01	24.34	8.97
AL121949	1398.12	22.17	11.65
AL131949	2455.97	42.78	12.04
AL141949	1259.16	19.89	13.12
AL151949	2398.69	54.95	22.21
AL161949	271.13	7.55	6.48
AL011950	4040.66	35.73	14.11
AL021950	2992.81	30.38	9.16
AL031950	3813.11	48.33	10.59
AL041950	5212.01	39.22	11.9
AL051950	1406.49	18.78	6.98
AL061950	2874.92	48.28	12.95
AL071950	3991.54	47.64	16.23
AL081950	614.62	13.59	7.32
AL091950	461.61	8.91	5.35
AL101950	2419.86	31.12	15.51
AL111950	1362.75	16.03	8.3
AL121950	2072.66	20.57	11.52
AL131950	975.56	17.55	8.8
AL141950	676.3	14.88	8.67
AL151950	473.09	12.61	8.76
AL161950	495.48	15.09	9.17
AL011951	3060.6	31.45	12.75
AL021951	2144.41	25.75	10.21
AL031951	1380.24	20.98	16.43
AL041951	3277.28	20.47	11.86
AL051951	3157.61	19.49	14.22
AL061951	5015.0	40.04	15.48
AL071951	4958.24	56.47	24.31
AL081951	352.95	11.13	6.69
AL091951	6090.52	47.67	19.82
AL101951	537.24	8.47	4.07
AL111951	877.29	13.98	7.7
AL121951	2192.55	27.27	10.44
AL011952	1997.33	35.18	27.74
AL021952	5174.13	23.78	13.46
AL031952	397.21	20.8	16.32
AL041952	3470.85	41.44	14.83
AL051952	1913.59	28.83	12.27
AL061952	2327.29	28.46	13.85
AL071952	878.47	8.44	5.86
AL081952	883.5	11.91	7.36
AL091952	557.99	11.38	4.65
AL101952	1637.8	17.91	8.39
AL111952	1331.33	16.44	9.24
AL011953	1809.55	13.94	6.02
AL021953	1177.24	22.32	11.54
AL031953	2227.51	38.77	16.18
AL041953	5219.32	35.41	18.31
AL051953	609.12	15.54	8.46
AL061953	3191.98	32.53	16.51
AL071953	4004.12	45.79	24.72
AL081953	871.54	14.14	6.86
AL091953	1436.65	19.42	13.77
AL101953	2620.24	17.14	10.92
AL111953	2488.06	56.65	23.04
AL121953	3732.75	41.46	16.73
AL131953	751.6	13.24	8.95
AL141953	591.53	14.08	12.32
AL011954	1867.89	48.87	23.95
AL021954	1742.4	29.1	10.37
AL031954	746.69	13.93	11.38
AL041954	709.34	11.63	8.44
AL051954	423.99	10.67	6.06
AL061954	1617.86	44.18	11.69
AL071954	3071.29	38.54	30.11
AL081954	3109.23	56.66	15.69
AL091954	1002.56	38.8	23.87
AL101954	250.33	11.27	5.2
AL111954	362.52	9.26	6.04
AL121954	1392.99	17.7	10.56
AL131954	2882.41	54.71	10.22
AL141954	3807.86	59.99	12.49
AL151954	785.61	9.23	6.55
AL161954	1083.29	13.28	6.62
AL011955	523.67	13.06	7.63
AL021955	3396.92	20.66	11.94
AL031955	5866.9	46.35	14.82
AL041955	3624.51	22.48	10.24
AL051955	752.95	16.94	10.66
AL061955	3112.0	51.9	17.29
AL071955	487.64	9.76	6.72
AL081955	6400.21	48.51	15.79
AL091955	1937.59	17.15	10.01
AL101955	2836.68	26.0	13.67
AL111955	2632.08	48.37	20.89
AL121955	952.53	29.05	9.34
AL131955	1523.52	30.81	13.74
AL011956	972.57	24.2	12.92
AL021956	399.65	12.29	9.74
AL031956	4559.74	27.0	15.51
AL041956	4502.9	56.24	20.28
AL051956	400.59	9.84	6.07
AL061956	421.5	12.09	7.02
AL071956	3510.64	26.81	11.75
AL081956	2634.42	43.67	15.14
AL091956	802.96	18.83	10.3
AL101956	520.36	12.91	7.88
AL111956	1316.23	32.02	11.97
AL121956	265.98	8.27	4.43
AL011957	2033.03	24.48	11.46
AL021957	1403.63	50.29	13.26
AL031957	598.89	10.56	7.68
AL041957	6263.34	32.47	11.11
AL051957	632.99	16.1	12.67
AL061957	783.75	16.21	9.33
AL071957	2296.14	23.05	13.67
AL081957	1910.63	28.06	16.76
AL011958	595.54	15.47	12.56
AL021958	4288.35	40.95	19.85
AL031958	5135.38	31.46	18.61
AL041958	2108.33	30.12	12.12
AL051958	2542.23	23.42	13.6
AL061958	1908.04	20.71	10.97
AL071958	2471.21	28.64	13.27
AL081958	5385.67	41.18	17.09
AL091958	2310.73	58.27	15.8
AL101958	3203.55	37.88	15.63
AL111958	1510.8	22.62	14.81
AL121958	1633.99	43.99	22.69
AL011959	1234.12	24.19	9.21
AL021959	274.1	6.83	3.26
AL031959	2652.19	56.05	24.76
AL041959	2057.89	34.06	10.31
AL051959	763.34	11.66	6.33
AL061959	463.26	21.18	18.94
AL071959	1867.38	36.96	20.85
AL081959	2724.72	33.75	9.48
AL091959	4752.05	47.52	17.6
AL101959	848.57	16.95	12.67
AL111959	2894.47	34.18	14.98
AL121959	1270.96	21.7	11.15
AL131959	2313.26	56.63	13.29
AL141959	1724.23	28.84	14.37
AL011960	1529.45	16.27	10.17
AL021960	2550.29	17.15	13.26
AL031960	4199.44	40.3	16.09
AL041960	1407.85	25.09	18.05
AL051960	6087.62	44.07	16.44
AL061960	993.55	18.44	8.15
AL071960	2045.64	13.25	9.06
AL081960	701.23	18.52	14.61
AL011961	1730.59	22.53	15.18
AL021961	3845.8	54.1	16.02
AL031961	4000.2	48.57	13.33
AL041961	4152.6	44.16	17.75
AL051961	4763.07	25.09	12.03
AL061961	1569.84	60.69	20.13
AL071961	2821.35	35.21	11.76
AL081961	2592.18	33.93	16.0
AL091961	915.69	13.65	8.03
AL101961	2513.34	33.16	12.69
AL111961	367.12	12.47	4.37
AL011962	2222.86	50.48	12.78
AL021962	2248.39	25.1	17.03
AL031962	2697.76	27.25	11.53
AL041962	3089.89	32.3	12.87
AL051962	2955.61	43.35	14.07
AL011963	3610.3	29.18	14.33
AL021963	3092.43	46.33	15.62
AL031963	2551.48	38.54	21.26
AL041963	445.8	8.61	5.31
AL051963	1603.8	20.24	12.15
AL061963	1499.25	16.86	10.86
AL071963	5605.59	30.85	13.74
AL081963	3048.62	33.2	9.24
AL091963	547.07	8.03	5.36
AL011964	2297.07	19.94	10.35
AL021964	3192.07	41.08	21.28
AL031964	598.66	10.58	8.31
AL041964	815.4	13.57	11.33
AL051964	5221.22	41.3	13.81
AL061964	6096.92	37.03	13.73
AL071964	4029.35	28.67	13.99
AL081964	1426.98	15.88	13.21
AL091964	3202.89	46.85	11.36
AL101964	1466.97	17.32	8.43
AL111964	1777.31	23.36	8.71
AL121964	710.44	9.94	5.92
AL011965	2621.67	29.03	15.6
AL021965	2207.01	52.5	17.52
AL031965	3862.95	21.95	9.47
AL041965	4229.61	24.82	11.37
AL051965	888.73	10.03	6.73
AL061965	2795.97	47.24	17.92
AL011966	2225.97	17.85	9.05
AL021966	905.69	20.62	18.87
AL031966	3042.79	39.31	14.49
AL051966	2116.03	21.49	14.11
AL041966	1546.14	17.57	7.16
AL061966	7265.18	41.31	17.81
AL071966	1607.26	16.88	10.72
AL081966	129.82	6.16	3.6
AL091966	4300.01	14.63	8.96
AL101966	1200.92	18.79	14.3
AL111966	3129.22	33.15	13.72
AL011967	148.95	5.33	3.1
AL021967	482.08	13.38	6.7
AL031967	563.98	9.18	6.27
AL041967	640.11	16.8	13.33
AL051967	1110.86	15.68	11.57
AL061967	443.67	21.41	18.49
AL071967	1071.28	20.79	14.88
AL081967	1525.79	17.6	10.6
AL091967	756.17	14.41	10.5
AL101967	1214.8	20.46	12.65
AL111967	2598.38	29.25	15.47
AL121967	5504.24	26.09	13.69
AL131967	2872.8	13.22	6.94
AL141967	2422.1	16.45	7.48
AL151967	2474.1	17.56	12.89
AL161967	1742.05	25.63	9.07
AL171967	499.49	10.38	6.94
AL181967	1100.57	13.83	9.17
AL191967	443.78	9.24	6.16
AL201967	579.91	13.67	12.08
AL211967	498.7	7.79	6.39
AL221967	232.98	10.86	9.71
AL231967	459.49	11.3	9.57
AL241967	533.79	13.87	11.12
AL251967	3151.49	20.3	9.91
AL261967	1136.59	27.41	15.79
AL011968	1899.13	13.11	6.33
AL021968	2612.92	22.9	12.1
AL031968	1823.64	30.46	21.71
AL041968	225.91	10.57	9.41
AL051968	3024.97	24.66	18.01
AL061968	698.49	9.11	4.85
AL071968	1124.95	17.85	13.39
AL081968	2036.97	18.21	11.32
AL091968	2354.21	29.6	10.6
AL101968	1232.58	17.0	11.41
AL111968	1188.1	23.95	19.8
AL121968	2182.42	24.98	12.54
AL131968	1020.25	15.95	10.0
AL141968	2460.36	35.26	12.43
AL151968	549.36	25.03	22.89
AL011969	632.61	10.14	6.59
AL021969	401.75	20.39	16.74
AL031969	515.3	15.06	10.74
AL041969	225.37	5.93	3.13
AL051969	571.88	19.04	11.91
AL061969	5421.04	44.48	20.08
AL071969	1906.72	42.59	35.31
AL081969	4333.56	53.15	16.42
AL091969	3102.93	38.3	15.05
AL101969	1207.37	21.86	12.58
AL111969	355.02	9.68	7.4
AL121969	612.56	13.66	9.28
AL131969	1671.61	27.28	10.72
AL141969	429.62	9.29	5.97
AL151969	1637.04	23.97	13.64
AL161969	2039.49	46.2	18.88
AL171969	1231.62	30.88	7.89
AL181969	559.6	12.11	5.83
AL191969	271.03	8.98	6.45
AL201969	3644.76	15.44	6.2
AL211969	966.69	27.78	8.95
AL221969	1131.11	22.18	8.57
AL231969	461.51	14.96	8.54
AL241969	1291.49	15.41	10.25
AL251969	4082.05	46.41	14.48
AL261969	1590.44	11.08	6.47
AL271969	992.5	27.66	12.72
AL281969	2467.36	21.75	13.71
AL291969	147.59	4.09	1.54
AL011970	2053.3	16.38	9.01
AL021970	1226.45	20.32	11.36
AL031970	1526.75	20.34	12.12
AL041970	1606.73	14.59	11.64
AL051970	1528.22	19.11	15.92
AL061970	318.67	8.85	8.85
AL071970	2492.31	19.06	14.84
AL081970	1671.91	58.39	19.9
AL091970	1982.38	16.98	13.77
AL101970	870.02	11.09	6.3
AL111970	656.19	14.8	12.15
AL121970	1175.58	19.42	10.31
AL131970	1312.41	19.36	9.94
AL141970	794.71	12.38	10.19
AL151970	4572.19	18.77	10.58
AL161970	1471.96	14.06	7.22
AL171970	1045.37	30.67	21.78
AL181970	1927.49	55.24	14.6
AL191970	1583.5	48.93	8.25
AL011971	1458.77	29.34	17.37
AL021971	227.5	9.62	9.48
AL031971	107.19	4.47	4.47
AL041971	2000.32	44.8	20.84
AL051971	442.61	9.25	6.15
AL061971	1769.11	17.96	10.53
AL071971	398.53	7.74	4.15
AL081971	2155.2	24.48	12.83
AL091971	3361.63	29.66	16.01
AL101971	1073.55	13.8	11.18
AL111971	1035.92	6.66	4.54
AL121971	1495.6	24.31	11.87
AL131971	3448.64	19.52	11.5
AL141971	4019.17	21.73	5.73
AL151971	598.47	18.17	8.31
AL161971	1571.16	24.16	16.37
AL171971	1205.99	23.46	12.56
AL181971	2357.58	19.3	10.91
AL191971	1355.88	20.64	16.14
AL201971	1184.12	10.02	6.17
AL211971	1895.22	37.18	21.06
AL221971	1298.7	10.45	5.7
AL011972	1134.48	17.59	8.22
AL021972	1819.55	20.12	8.92
AL031972	302.01	8.25	7.19
AL041972	475.24	11.97	8.8
AL051972	705.46	13.83	6.92
AL061972	765.7	12.97	10.64
AL071972	1169.04	24.31	21.65
AL081972	214.89	3.92	2.98
AL091972	616.23	13.91	12.83
AL101972	2156.03	21.93	8.76
AL111972	1524.37	21.27	9.07
AL121972	480.88	12.05	10.02
AL131972	2154.28	22.61	9.45
AL141972	1588.85	50.21	26.48
AL151972	859.62	11.58	8.95
AL161972	633.23	14.41	13.19
AL171972	3009.83	19.76	12.54
AL181972	692.94	9.8	7.22
AL191972	887.62	12.45	6.16
AL011973	648.36	13.16	9.0
AL021973	892.75	15.94	12.4
AL031973	208.47	4.76	4.34
AL041973	1668.85	39.88	13.24
AL051973	680.2	16.75	14.17
AL061973	747.79	14.53	12.46
AL071973	1126.96	27.86	23.48
AL081973	664.98	11.45	7.39
AL091973	3174.9	17.76	12.91
AL101973	1302.13	18.22	9.86
AL111973	1097.43	15.69	7.62
AL121973	4198.63	50.6	19.44
AL131973	342.11	10.51	7.13
AL141973	3035.74	41.11	26.63
AL151973	1009.71	22.5	21.04
AL161973	3476.56	43.18	10.54
AL171973	266.53	10.52	8.88
AL011974	520.7	8.96	5.42
AL021974	870.65	36.86	29.02
AL031974	857.76	19.06	17.87
AL041974	643.52	10.9	6.31
AL051974	1878.23	27.83	17.39
AL061974	872.42	22.03	8.08
AL071974	1598.46	24.68	22.2
AL081974	641.16	13.68	13.36
AL091974	2062.63	35.2	12.73
AL101974	2942.1	23.96	10.22
AL111974	3224.14	22.86	14.93
AL121974	1378.37	38.43	20.88
AL131974	3056.22	27.24	13.77
AL141974	2290.19	20.31	11.93
AL151974	495.53	12.0	9.18
AL161974	945.73	12.18	9.85
AL171974	1364.46	15.88	8.75
AL181974	1561.41	38.61	13.01
AL191974	916.87	13.66	12.73
AL201974	189.53	4.09	3.95
AL011975	940.83	12.23	7.84
AL021975	2108.26	35.5	11.71
AL031975	353.79	15.08	14.74
AL041975	1678.01	37.56	14.72
AL051975	344.53	18.71	9.57
AL061975	298.38	7.08	6.22
AL071975	1715.77	13.37	8.94
AL081975	1035.67	14.72	6.16
AL091975	2000.34	24.14	14.5
AL101975	623.04	9.82	8.65
AL111975	170.71	9.51	5.69
AL121975	919.75	38.16	11.79
AL131975	3080.47	28.41	11.16
AL141975	3972.19	44.62	14.71
AL151975	4682.29	56.07	17.34
AL161975	271.45	4.3	2.83
AL171975	502.78	14.48	10.47
AL181975	643.8	10.58	8.94
AL191975	733.3	19.39	9.4
AL201975	514.2	15.8	9.52
AL211975	872.88	15.97	8.56
AL221975	394.08	14.47	8.21
AL231975	1513.02	22.97	15.76
AL011976	1597.79	23.21	15.67
AL021976	898.21	21.6	16.64
AL031976	801.73	27.98	26.73
AL041976	219.84	5.27	4.58
AL051976	480.37	22.77	16.01
AL061976	2707.38	34.92	12.53
AL071976	1159.99	22.46	11.37
AL081976	717.47	21.52	8.54
AL091976	1716.32	31.59	11.92
AL101976	4263.69	19.05	11.65
AL111976	3588.26	20.81	13.59
AL121976	320.58	8.05	6.68
AL131976	253.14	6.2	5.27
AL141976	581.13	9.0	6.92
AL151976	1555.63	19.32	9.26
AL161976	357.57	15.58	6.62
AL171976	1941.79	33.25	9.52
AL181976	536.53	12.74	11.18
AL191976	2255.78	20.79	10.44
AL201976	486.47	9.19	6.76
AL211976	2341.2	44.93	15.61
AL011977	315.98	10.6	10.53
AL021977	376.65	13.09	12.56
AL031977	166.3	7.33	6.93
AL041977	1218.28	19.64	16.92
AL051977	864.01	19.21	7.58
AL061977	1202.07	11.9	8.71
AL071977	1575.01	30.71	10.1
AL081977	562.4	12.83	11.72
AL091977	206.64	9.02	8.61
AL101977	1738.57	30.08	20.7
AL111977	602.58	13.1	12.55
AL121977	405.99	13.17	8.46
AL131977	1399.95	34.78	25.92
AL141977	295.28	8.6	5.47
AL151977	472.95	15.99	15.77
AL011978	1162.84	15.02	10.77
AL021978	182.91	8.25	6.1
AL031978	964.04	22.21	20.08
AL041978	246.07	8.74	8.2
AL051978	515.02	10.96	7.15
AL061978	1997.21	21.84	18.49
AL071978	1850.78	19.56	18.15
AL081978	180.3	6.54	6.01
AL091978	861.94	22.1	11.05
AL101978	2452.54	41.08	15.72
AL111978	266.68	6.28	5.56
AL121978	2635.86	52.23	13.73
AL131978	4380.55	39.75	14.9
AL141978	281.05	6.77	5.2
AL151978	3762.25	33.96	16.5
AL161978	1843.07	20.27	12.29
AL171978	3068.88	18.21	11.62
AL181978	412.19	9.86	8.59
AL191978	744.26	35.78	9.54
AL201978	1296.22	21.25	14.4
AL211978	967.62	10.7	9.49
AL221978	724.22	12.9	10.06
AL231978	2873.95	51.07	20.83
AL241978	485.1	14.91	10.11
AL011979	1005.47	14.07	7.98
AL021979	1301.12	16.53	12.05
AL031979	1536.45	23.4	12.8
AL041979	1956.17	19.6	11.64
AL051979	1154.69	20.7	14.8
AL061979	4297.9	23.57	12.79
AL071979	1198.97	19.13	15.37
AL081979	2908.62	37.47	20.2
AL091979	4991.06	38.88	15.4
AL101979	599.07	14.56	8.32
AL111979	5522.57	78.79	13.74
AL121979	497.03	11.16	6.9
AL131979	1774.82	22.81	14.79
AL141979	3015.18	23.5	11.69
AL151979	1357.81	12.04	5.96
AL161979	1668.56	25.92	13.91
AL171979	896.5	6.93	4.67
AL181979	1415.41	43.98	29.49
AL191979	728.3	11.04	6.07
AL201979	659.03	12.76	10.98
AL011980	731.26	11.34	7.62
AL021980	499.89	6.65	5.21
AL031980	1368.03	19.15	14.25
AL041980	4397.65	22.53	16.29
AL051980	2041.68	28.21	21.27
AL061980	2379.74	47.75	17.24
AL071980	1984.38	37.87	15.75
AL081980	1756.99	23.92	18.3
AL091980	3656.17	39.81	19.66
AL101980	3052.98	37.67	19.57
AL111980	516.74	13.1	7.83
AL121980	4212.66	33.53	11.7
AL131980	1197.33	14.67	9.07
AL141980	3389.01	39.44	12.84
AL151980	153.04	3.97	3.19
AL161980	1378.09	14.87	6.76
AL171980	1168.18	13.31	8.11
AL181980	1017.49	28.15	14.13
AL011981	232.1	10.63	9.67
AL021981	460.94	9.96	8.54
AL031981	806.18	18.56	13.44
AL041981	693.77	14.98	11.56
AL051981	396.52	12.25	11.01
AL061981	693.68	22.62	14.45
AL071981	631.0	18.15	15.02
AL081981	431.17	14.56	11.98
AL091981	947.5	24.69	14.36
AL101981	5110.16	25.19	14.44
AL111981	1574.59	19.47	14.58
AL121981	524.84	10.13	7.95
AL131981	2306.02	13.08	8.36
AL141981	2981.25	22.59	13.8
AL151981	3945.76	31.64	18.79
AL161981	2931.22	25.63	14.8
AL171981	605.35	11.79	10.09
AL181981	4751.67	55.63	16.85
AL191981	2947.33	24.13	14.03
AL201981	1392.19	42.07	16.57
AL211981	1177.43	29.46	10.33
AL221981	921.65	17.84	8.08
AL011982	501.2	9.69	5.22
AL021982	1888.15	45.37	28.61
AL031982	2422.07	14.95	11.21
AL041982	881.94	12.62	10.5
AL051982	667.6	11.15	7.42
AL061982	3338.83	47.41	19.19
AL071982	1150.99	16.88	13.7
AL081982	807.59	26.14	13.46
AL011983	1763.28	16.66	13.99
AL021983	2145.59	18.0	14.9
AL031983	1109.63	14.21	8.22
AL041983	1460.72	16.8	10.53
AL051983	1108.64	19.38	9.73
AL061983	776.46	14.11	8.09
AL011984	359.26	8.05	5.99
AL021984	292.06	8.08	6.95
AL031984	1327.83	24.48	22.13
AL041984	475.17	11.26	8.8
AL051984	1557.91	22.58	19.97
AL061984	1430.13	14.81	7.45
AL071984	1785.15	26.14	14.17
AL081984	1005.88	19.66	15.24
AL091984	184.74	7.12	4.4
AL101984	1807.15	41.51	9.56
AL111984	74.88	3.13	2.08
AL121984	1427.07	17.81	11.89
AL131984	401.76	16.27	6.7
AL141984	2542.58	29.98	10.87
AL151984	1785.97	23.69	12.4
AL161984	3092.26	24.71	9.37
AL171984	1019.07	17.92	15.44
AL181984	2259.67	25.34	11.77
AL191984	1716.86	19.89	15.06
AL201984	3438.75	33.68	11.94
AL011985	1393.97	29.16	15.49
AL021985	985.42	19.04	8.87
AL031985	3031.85	30.04	17.42
AL041985	2349.38	15.96	11.28
AL051985	2081.87	23.98	11.54
AL061985	1572.09	19.05	13.1
AL071985	688.12	17.61	12.74
AL081985	1595.02	38.4	17.72
AL091985	6014.42	41.32	16.83
AL101985	734.66	14.56	9.71
AL111985	1782.92	16.97	8.71
AL121985	1472.15	17.15	9.05
AL131985	2474.2	26.81	12.9
AL141985	260.02	6.62	4.82
AL011986	1005.32	23.63	11.17
AL021986	1017.98	13.25	8.98
AL031986	1464.91	28.52	12.21
AL041986	368.62	11.5	10.24
AL051986	4620.73	34.76	11.64
AL061986	1804.51	20.93	15.04
AL071986	799.44	15.78	11.1
AL081986	1580.62	29.07	20.26
AL091986	2818.01	51.53	12.69
AL101986	600.66	15.51	8.34
AL011987	1221.06	10.87	6.78
AL031987	1043.77	11.53	5.61
AL021987	5777.63	31.38	12.04
AL041987	1061.84	22.59	17.7
AL051987	2148.84	19.4	14.33
AL061987	960.73	15.75	12.32
AL071987	2035.1	24.04	16.15
AL081987	1207.13	20.56	18.29
AL091987	448.83	13.0	12.47
AL101987	3231.13	25.04	11.22
AL111987	782.89	10.72	8.16
AL121987	3964.4	61.21	24.43
AL131987	1336.72	19.86	11.93
AL141987	862.59	13.82	8.99
AL011988	1496.99	32.65	20.79
AL021988	362.85	9.28	5.5
AL031988	4002.06	38.27	18.08
AL041988	1221.82	8.98	6.36
AL051988	1628.84	49.17	33.93
AL061988	823.22	15.65	11.43
AL071988	906.09	13.21	9.19
AL081988	4332.17	40.85	15.78
AL091988	3672.02	55.32	14.23
AL101988	954.27	17.76	14.46
AL111988	2721.63	17.63	9.17
AL121988	4177.24	56.35	18.99
AL131988	384.19	13.56	8.01
AL141988	588.96	30.21	16.36
AL151988	4004.15	29.13	15.17
AL161988	1486.19	34.28	16.51
AL171988	53.11	8.85	8.85
AL181988	518.07	35.76	17.27
AL191988	313.66	13.62	6.54
AL011989	130.49	5.07	3.63
AL021989	678.0	7.78	4.24
AL031989	1400.58	26.62	13.73
AL041989	864.51	12.68	10.17
AL051989	3685.89	40.17	17.52
AL061989	2503.65	30.81	11.92
AL071989	3217.68	27.2	14.9
AL081989	3340.41	22.01	8.98
AL091989	310.21	11.76	10.34
AL101989	4033.03	19.87	12.02
AL111989	6095.78	55.93	16.84
AL121989	1624.88	19.68	13.54
AL131989	920.54	20.61	10.96
AL141989	919.16	18.91	9.25
AL151989	685.89	11.78	4.97
AL011990	330.69	12.82	9.19
AL021990	2064.94	20.18	16.39
AL031990	2009.57	24.01	9.3
AL041990	1819.72	18.85	10.11
AL061990	1602.38	15.76	6.21
AL051990	1723.73	20.11	12.79
AL071990	1750.61	30.06	24.32
AL081990	2853.73	28.48	11.89
AL091990	1825.78	18.92	12.17
AL101990	3569.41	22.3	11.02
AL111990	660.89	8.91	3.06
AL121990	2761.83	30.62	7.55
AL131990	988.47	14.91	6.86
AL141990	3087.99	38.31	13.91
AL151990	830.81	15.98	8.65
AL161990	834.23	12.66	6.32
AL011991	2107.79	28.71	14.64
AL021991	100.58	5.61	3.35
AL031991	4066.31	28.54	13.35
AL041991	387.49	12.61	10.76
AL051991	1303.0	29.61	18.1
AL061991	2641.6	25.17	10.67
AL071991	1955.18	23.56	18.1
AL081991	2100.59	31.59	21.59
AL091991	872.72	43.82	17.83
AL101991	318.62	14.72	13.28
AL111991	944.32	38.72	11.43
AL121991	2023.33	27.22	17.07
AL011992	424.42	9.61	5.44
AL021992	290.59	15.77	12.11
AL031992	343.25	16.81	8.17
AL041992	4015.58	24.35	14.55
AL051992	2525.84	26.18	7.02
AL061992	1672.25	28.87	9.61
AL071992	626.84	15.17	6.98
AL081992	1556.54	15.03	10.81
AL091992	1542.72	15.94	9.18
AL101992	3150.54	30.32	17.5
AL011993	1124.31	22.47	18.74
AL021993	562.14	26.58	7.1
AL031993	2767.85	20.65	16.6
AL041993	754.6	14.16	12.46
AL051993	3294.55	19.56	9.34
AL061993	1010.95	12.08	8.42
AL071993	3546.85	43.08	26.87
AL081993	1637.0	21.56	9.83
AL091993	1519.83	47.64	21.11
AL101993	600.18	30.95	25.01
AL011994	1059.78	12.0	5.98
AL021994	212.81	9.77	8.61
AL031994	1183.1	21.85	10.63
AL041994	2887.86	35.7	16.6
AL051994	378.19	11.01	7.88
AL061994	595.74	18.75	16.22
AL071994	533.82	8.86	5.23
AL081994	296.22	8.7	5.48
AL091994	188.43	9.01	5.24
AL101994	241.38	11.0	6.7
AL111994	2049.48	44.89	12.65
AL121994	3074.18	32.64	9.93
AL011995	3614.9	40.07	18.55
AL021995	1241.48	39.77	12.06
AL031995	3897.56	67.85	16.24
AL041995	792.07	13.08	6.68
AL051995	1761.43	22.71	11.62
AL061995	238.19	8.62	5.72
AL071995	6309.88	41.93	15.47
AL081995	230.79	8.79	4.64
AL091995	2450.56	18.9	10.21
AL101995	4753.48	50.26	12.29
AL111995	778.88	12.79	6.18
AL121995	2129.75	25.94	11.83
AL131995	5442.1	57.68	13.95
AL141995	1230.98	18.39	12.82
AL151995	3987.67	17.68	8.79
AL161995	2327.9	22.36	8.82
AL171995	2061.04	35.63	10.12
AL181995	1578.98	27.12	17.54
AL191995	1707.59	16.95	5.58
AL201995	1041.57	17.69	9.64
AL211995	2758.16	32.23	16.42
AL011996	2515.76	46.15	19.97
AL021996	5557.52	37.95	18.89
AL031996	1502.28	20.62	15.47
AL041996	1568.47	16.49	11.55
AL051996	5409.12	24.03	12.52
AL061996	4801.38	23.96	11.6
AL071996	1690.86	13.21	10.06
AL081996	3935.25	37.88	12.95
AL091996	2998.03	38.16	15.61
AL101996	5058.52	41.67	18.96
AL111996	146.04	7.0	4.87
AL121996	5145.69	34.1	14.71
AL131996	1823.74	14.78	5.74
AL011997	943.85	25.96	19.66
AL021997	1171.45	25.15	10.85
AL031997	1154.1	30.36	24.4
AL041997	955.14	21.44	10.61
AL051997	2512.37	59.52	9.29
AL061997	530.16	14.01	12.62
AL071997	4608.83	20.77	11.64
AL081997	980.33	23.35	10.21
AL091997	1349.15	29.28	18.74
AL011998	2109.21	20.93	14.06
AL021998	4027.26	36.08	14.11
AL031998	549.49	13.62	8.36
AL041998	5882.81	35.24	16.34
AL051998	3740.66	47.29	19.48
AL061998	822.59	13.35	6.85
AL071998	4409.87	22.85	11.78
AL081998	539.46	13.43	6.79
AL091998	3079.85	30.42	14.67
AL101998	4014.08	19.4	12.62
AL111998	3093.29	41.46	20.62
AL121998	2696.29	68.93	22.47
AL131998	6453.49	45.21	14.54
AL141998	2830.01	40.16	13.87
AL011999	754.03	11.56	5.03
AL021999	134.87	12.85	10.59
AL031999	835.13	9.02	5.57
AL041999	3414.17	28.81	11.38
AL051999	2599.64	25.74	6.91
AL061999	826.97	13.95	8.11
AL071999	250.95	8.33	5.98
AL081999	4118.17	31.27	14.53
AL091999	3762.77	27.08	13.06
AL101999	609.62	27.88	9.41
AL111999	263.05	13.01	4.87
AL121999	277.58	7.61	4.21
AL131999	3037.78	77.29	17.54
AL141999	2520.15	37.6	13.42
AL151999	818.74	18.72	9.1
AL161999	1828.87	15.77	8.02
AL012000	56.67	3.88	3.15
AL022000	1096.18	24.66	16.61
AL032000	7304.91	38.91	14.16
AL042000	446.4	8.03	6.2
AL052000	384.12	11.3	8.0
AL062000	550.33	14.24	11.46
AL072000	1954.39	22.4	17.26
AL082000	803.2	17.54	14.87
AL092000	154.48	9.97	8.28
AL102000	1747.45	33.29	10.4
AL112000	2058.66	23.0	12.6
AL122000	4490.69	54.83	18.25
AL132000	5354.28	41.34	17.5
AL142000	2115.45	16.87	13.06
AL152000	1180.52	13.15	6.06
AL162000	3582.74	42.97	23.88
AL172000	1768.57	47.93	14.04
AL182000	1020.25	25.47	14.17
AL192000	1740.98	42.53	17.44
AL012001	2479.93	27.56	7.9
AL022001	399.45	17.44	16.64
AL032001	942.47	13.05	7.07
AL042001	3270.58	33.44	17.14
AL052001	2754.08	33.17	16.39
AL062001	4796.47	32.63	13.11
AL072001	2865.26	20.33	10.61
